DataFile,BaseURL,Site,Measurement,RequestAs,StartDate,URL
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Burkes Drain at Hockly Bridge,Stage,Stage,2021-11-02T13:15:00,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Burkes%20Drain%20at%20Hockly%20Bridge&ObservedProperty=Stage%20%5BWater%20Level%5D&TemporalFilter=2021-11-02T13%3A15%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Burkes Drain at Lockwood Rd,Stage,Stage,2009-05-28T06:15:00,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Burkes%20Drain%20at%20Lockwood%20Rd&ObservedProperty=Stage%20%5BWater%20Level%5D&TemporalFilter=2009-05-28T06%3A15%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Coal Creek at Pohangina Valley West Road,Stage,Stage,1972-09-29T11:25:00,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Coal%20Creek%20at%20Pohangina%20Valley%20West%20Road&ObservedProperty=Stage%20%5BWater%20Level%5D&TemporalFilter=1972-09-29T11%3A25%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Cookes Pump Station,Stage,Stage,2004-05-24T15:15:00,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Cookes%20Pump%20Station&ObservedProperty=Stage%20%5BWater%20Level%5D&TemporalFilter=2004-05-24T15%3A15%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Diagonal Pump Station,Stage,Stage,2004-05-24T15:00:03,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Diagonal%20Pump%20Station&ObservedProperty=Stage%20%5BWater%20Level%5D&TemporalFilter=2004-05-24T15%3A00%3A03
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,HDC Stormwater at Fairfield Rd,Rainfall,Rainfall [Rainfall],2018-05-30T15:30:00,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=HDC%20Stormwater%20at%20Fairfield%20Rd&ObservedProperty=Rainfall%20%5BRainfall%5D&TemporalFilter=2018-05-30T15%3A30%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,HDC Stormwater at Fairfield Rd,Rainfall,Rainfall [Rainfall],2018-05-30T15:30:00,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=HDC%20Stormwater%20at%20Fairfield%20Rd&ObservedProperty=Rainfall%20%5BSCADA%20Rainfall%5D&TemporalFilter=2018-05-30T15%3A30%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kahuterawa at 897 Kahuterawa Road,Rainfall,Rainfall [Rainfall],1998-01-01T09:00:00,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kahuterawa%20at%20897%20Kahuterawa%20Road&ObservedProperty=Rainfall%20%5BRainfall%5D&TemporalFilter=1998-01-01T09%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kahuterawa at Johnstons Rata,Stage,Stage,2005-04-26T16:00:00,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kahuterawa%20at%20Johnstons%20Rata&ObservedProperty=Stage%20%5BWater%20Level%5D&TemporalFilter=2005-04-26T16%3A00%3A00
LowerManawatuModel,https://flood.horizons.govt.nz/LowerManawatuModel.hts,Kahuterawa at Johnstons Rata,Flow,Flow [Flow],2005-04-30T11:15:00,https://flood.horizons.govt.nz/LowerManawatuModel.hts?Request=GetObservation&Service=SOS&FeatureOfInterest=Kahuterawa%20at%20Johnstons%20Rata&ObservedProperty=Flow%20%5BFlow%5D&TemporalFilter=2005-04-30T11%3A15%3A00
